cmx cmy cmz ux uy uz costheta
#properties of cations
2.203461320246476163e+01 2.005759775602946959e+01 1.937419707878136137e+02 -1.761416702271120516e-01 7.667802725527042007e-01 -6.172698969118808332e-01 -1.761416702271120516e-01
9.325602491992183829e+00 2.748512568541430312e+01 2.100818036214250242e+02 -4.380954210135561411e-01 -7.888060743974114608e-01 4.311117941795379327e-01 -4.380954210135561411e-01
2.824346307834880676e+01 5.454892826609393452e+00 2.049098145458401632e+02 -4.097872553807476170e-01 -2.561989794071587445e-01 8.754635847813684313e-01 -4.097872553807476170e-01
1.433859783153473799e+01 2.319152754386575666e+01 2.055198301888483741e+02 -1.884370500378077240e-01 -8.105597893605289705e-01 5.545126743771179312e-01 -1.884370500378077240e-01
3.588792500021227738e+01 1.029411769460014092e+01 1.946444524694182121e+02 7.151293617326317520e-01 4.186886045040876803e-01 -5.597230104670508632e-01 7.151293617326317520e-01
1.720371420377922789e+01 1.587922357642304760e+01 2.049879705192409176e+02 7.569881214704132777e-01 -2.254845858973848205e-01 6.132908653121941223e-01 7.569881214704132777e-01
2.486887146609679178e+01 3.756481498473426939e+01 1.958106268171674742e+02 4.162456529666036520e-01 -5.986199365557469676e-01 -6.843929631026310911e-01 4.162456529666036520e-01
3.555578939451593357e+01 2.533003267754657273e+01 1.962245001643194371e+02 4.553038575751325867e-01 4.880079505787636718e-01 -7.446788821022913840e-01 4.553038575751325867e-01
2.019780029638582164e+01 -9.525466775255058138e-01 1.928971642969203231e+02 5.635871337858261443e-01 -3.493385272908645645e-01 -7.485533621468326571e-01 5.635871337858261443e-01
1.047642574581907837e+01 1.404189979792034393e+01 2.058282091601448371e+02 5.447982518629944648e-01 3.016633342122107542e-01 7.824283338165849422e-01 5.447982518629944648e-01
3.020574382577284922e+01 1.737113031615467662e+01 1.954221486131043264e+02 -7.992384403347975175e-01 3.126977257262674170e-01 -5.132621628532733071e-01 -7.992384403347975175e-01
3.661157650599682256e+01 3.490798901180934877e+01 2.043559768263716876e+02 -2.291001226047331141e-01 -9.549155439103729215e-02 9.687076426159131337e-01 -2.291001226047331141e-01
1.409744739810688863e+01 3.685746408483185022e+00 2.035977532425022787e+02 -5.213095611705361732e-01 1.381322578846814475e-01 8.421139001131989765e-01 -5.213095611705361732e-01
2.507184079401107546e+00 8.755289504989788085e+00 1.965417714077566416e+02 -3.039042749426922874e-01 -1.759497648637750600e-02 -9.525400823450950183e-01 -3.039042749426922874e-01
1.998176323484691608e+01 2.995363157299886936e+01 2.036963487870181666e+02 5.092478442569255970e-01 2.483427539798216954e-01 8.240100179399469926e-01 5.092478442569255970e-01
2.811208174661331682e+01 3.888532240222762226e+01 2.042781213957271689e+02 -2.701290408128230736e-01 -1.056137053184428992e-01 9.570141308039569195e-01 -2.701290408128230736e-01
1.405129029962965426e+01 8.462750097771943203e+00 2.070448258932067915e+02 3.698972411004722294e-01 2.107831347792417723e-02 9.288335349927808737e-01 3.698972411004722294e-01
2.300808342312885202e+01 7.229210105174129097e+00 2.034145822591841863e+02 7.251198663447618875e-01 3.409072320208620388e-01 5.983171722322774277e-01 7.251198663447618875e-01
2.898605383632598631e+01 8.970458374106902610e+00 1.960030981655991695e+02 1.103420260695242745e-02 3.451607978963682211e-01 -9.384786997947109910e-01 1.103420260695242745e-02
8.034314677141701111e+00 2.130817432401739353e+01 1.962701078132272983e+02 4.029024445038197344e-01 -7.702658619500886150e-01 -4.943279499756549900e-01 4.029024445038197344e-01
2.216852772671726512e+01 2.655458221644438055e+01 1.953931373023881974e+02 3.708467522878867717e-01 3.510093013566680242e-01 -8.598053016111441016e-01 3.708467522878867717e-01
2.734347888074621480e+00 1.966904715780873403e+01 2.033708678209307266e+02 2.717623466923423196e-05 3.787696380299482302e-01 9.254909835152984598e-01 2.717623466923423196e-05
2.414138138928477773e+01 1.299017417811432296e+01 1.971221840168225015e+02 2.959077334726007980e-01 2.623553644265657070e-01 -9.184815055447290710e-01 2.959077334726007980e-01
2.628637949297043974e+00 1.499688172215536319e+01 1.947323463127241041e+02 6.445600475688234576e-01 2.728882269397546190e-01 -7.141949038433087482e-01 6.445600475688234576e-01
2.673691870142919669e+01 2.173841286085391289e+00 1.955771873032802262e+02 2.463519058063027012e-01 -5.253639308211000003e-01 -8.144344532851033325e-01 2.463519058063027012e-01
1.912561728092919466e+01 6.523713722920900793e+00 1.945482394359993918e+02 -4.461633598053269534e-01 2.559616567054348035e-01 -8.575674239754162986e-01 -4.461633598053269534e-01
1.058644998678103466e+00 2.545055378770413057e+01 2.011788118775147609e+02 -5.091180775376681344e-01 3.278112393005832570e-01 -7.958257186800165028e-01 -5.091180775376681344e-01
2.536153208056374453e+01 2.667454555364793478e+01 2.019056827363001219e+02 -5.479541891516689356e-01 -9.112742855556860144e-02 8.315299142881071859e-01 -5.479541891516689356e-01
1.249221762404693514e+01 3.890036775113781431e+01 2.055403055311312244e+02 2.959936081947266984e-01 -8.903926053991703671e-02 9.510309111644958957e-01 2.959936081947266984e-01
1.925146377482017002e+01 1.134172217825221196e+01 2.047084269637073817e+02 5.529705602434166201e-01 -9.549920655548631288e-02 8.277097686093564111e-01 5.529705602434166201e-01
1.555646921872334154e+01 1.861437234267598484e+01 1.950637357190883563e+02 7.591767890936549357e-01 -7.764723759103475675e-02 -6.462364191191407592e-01 7.591767890936549357e-01
9.989462913110310538e+00 1.332104595377551171e+01 1.945431815446849839e+02 7.285716098070311730e-01 -2.068746622449271211e-01 -6.529826058205826511e-01 7.285716098070311730e-01
