step time temp atoms pxx pyy pzz lx ly lz upper_cmz
0 0 300 31000 -12052.5032893511 -11735.7149438045 -10494.6844249166 70.710678 70.710678 150 43.75 
1000 1000 310.29955109282 31000 -11162.0739336774 -11079.0148569826 -9473.14294895477 70.710678 70.710678 150 43.3346996043918 
2000 2000 315.141661261702 31000 -11189.864472083 -11012.1813058519 -9506.69877609375 70.710678 70.710678 150 42.2013894465922 
3000 3000 320.011760766369 31000 -10879.6394381458 -10868.25263672 -9229.07074572381 70.710678 70.710678 150 40.5488834035606 
4000 4000 321.635311096589 31000 -10720.060029563 -10813.4860246436 -9020.71244719935 70.710678 70.710678 150 38.4724735494391 
5000 5000 318.070903494721 31000 -10676.2812059828 -10648.7073777428 -8867.99780092798 70.710678 70.710678 150 36.1970433231242 
6000 6000 320.368083220911 31000 -10578.6556578394 -10312.6303865366 -8508.95378040792 70.710678 70.710678 150 34.050475578539 
7000 7000 316.7109624977 31000 -10001.1780107322 -10252.9303571213 -8356.3114453141 70.710678 70.710678 150 32.3286395335226 
8000 8000 313.978925625611 31000 -10242.2635899283 -10146.5963817772 -8433.82212260348 70.710678 70.710678 150 31.2991757054157 
9000 9000 309.731841715163 31000 -10394.7046238872 -10319.3397918404 -8876.31429684746 70.710678 70.710678 150 30.6957954880357 
10000 10000 303.190807953645 31000 -10569.382730091 -10353.8624800483 -8947.81892335908 70.710678 70.710678 150 30.1692594526958 
11000 11000 298.7949335133 31000 -10488.0388033866 -10356.9792335073 -8972.39601894189 70.710678 70.710678 150 29.5599373153399 
12000 12000 298.475735200338 31000 -10511.803370818 -10516.345084524 -8936.54497468247 70.710678 70.710678 150 28.7244723012472 
13000 13000 300.90809529427 31000 -10522.0820850122 -10479.1419430858 -8908.37734880116 70.710678 70.710678 150 27.8351343742638 
14000 14000 299.516626080565 31000 -10580.2035083023 -10541.0493151079 -8937.91705612946 70.710678 70.710678 150 26.8906073153913 
15000 15000 301.8381354724 31000 -10414.3435978729 -10404.2352155821 -8851.92776208999 70.710678 70.710678 150 25.8677654751368 
16000 16000 300.358448863662 31000 -10362.1118994094 -10438.8820298504 -8822.23772822034 70.710678 70.710678 150 24.8710185798946 
17000 17000 300.943079692199 31000 -10301.6731456587 -10411.5863118504 -8648.1389024144 70.710678 70.710678 150 23.7630986373591 
18000 18000 300.521674538649 31000 -10307.2993504097 -10204.8731647218 -8616.17984923371 70.710678 70.710678 150 22.7235872440686 
19000 19000 300.788899066193 31000 -10306.4981728209 -10173.3330628811 -8609.24091115363 70.710678 70.710678 150 21.7755893163658 
20000 20000 298.475384608255 31000 -10243.3232037098 -10151.135251793 -8608.36381788143 70.710678 70.710678 150 21.0039352451676 
21000 21000 302.050824902327 31000 -10192.4102753481 -10227.1827663634 -8687.90971680494 70.710678 70.710678 150 20.3578337114046 
22000 22000 300.762272463996 31000 -10206.4517323495 -10125.2902330935 -8646.12081798644 70.710678 70.710678 150 19.8962395019215 
23000 23000 298.168264282222 31000 -10116.2914157774 -10111.5058509165 -8717.89729924583 70.710678 70.710678 150 19.6010326907123 
24000 24000 301.541926947625 31000 -10190.6281177516 -10207.7544195014 -8695.55106016299 70.710678 70.710678 150 19.5639773341374 
25000 25000 300.138211765215 31000 -10072.9562933966 -10041.0735180169 -8515.52214744325 70.710678 70.710678 150 19.6993436963904 
26000 26000 296.715181900807 31000 -10234.9712653535 -10424.7332921199 -8766.06761985972 70.710678 70.710678 150 20.1023523238063 
27000 27000 297.402567791202 31000 -10238.2664252336 -10450.0737949384 -8823.17016379736 70.710678 70.710678 150 20.4839158288928 
28000 28000 296.174623817928 31000 -10362.3727465065 -10412.2125869877 -8918.05217729656 70.710678 70.710678 150 20.9141048818812 
29000 29000 301.04406841142 31000 -10478.7831624318 -10581.8396392365 -8981.06470500038 70.710678 70.710678 150 21.3295400501319 
30000 30000 300.80213257562 31000 -10720.7808722116 -10479.6687555743 -9042.14765253463 70.710678 70.710678 150 21.6700564846632 
31000 31000 301.701023693779 31000 -10412.5179804717 -10435.4539111178 -9080.35317377839 70.710678 70.710678 150 21.8665143748047 
32000 32000 301.698179814673 31000 -10555.5058701131 -10425.965721892 -9096.71266485141 70.710678 70.710678 150 21.9700696373577 
33000 33000 299.373920012547 31000 -10626.1156725405 -10562.9635657293 -8907.31009066657 70.710678 70.710678 150 21.9651042935592 
34000 34000 299.935379460106 31000 -10538.2824712676 -10435.7566324982 -9028.77038662418 70.710678 70.710678 150 21.8787543776841 
35000 35000 295.328401765597 31000 -10527.9516711662 -10590.0842190706 -8924.45161954772 70.710678 70.710678 150 21.6853174116851 
36000 36000 300.586084598028 31000 -10433.8857140654 -10313.5055003607 -8818.67573452837 70.710678 70.710678 150 21.4851189600069 
37000 37000 303.467551666085 31000 -10404.7927088663 -10336.8493171142 -8982.13576394334 70.710678 70.710678 150 21.2572308491858 
38000 38000 299.077731467647 31000 -10577.5147431344 -10260.3708869185 -8851.70540045072 70.710678 70.710678 150 21.0038699423064 
39000 39000 301.946816170063 31000 -10347.04016169 -10208.1084113625 -8744.23015215212 70.710678 70.710678 150 20.7512113154184 
40000 40000 300.837661675482 31000 -10425.2341190906 -10213.355841772 -8693.26895586224 70.710678 70.710678 150 20.6289049267319 
41000 41000 299.274371879169 31000 -10189.6239592377 -10416.0825620256 -8719.30961965533 70.710678 70.710678 150 20.6005796502211 
42000 42000 299.725248585695 31000 -10130.6516556386 -10272.7894326257 -8712.96214854628 70.710678 70.710678 150 20.6127166626996 
43000 43000 298.910886372151 31000 -10166.2981850336 -10434.3389373926 -8782.10927145259 70.710678 70.710678 150 20.6729174453346 
44000 44000 300.57467030987 31000 -10295.5624815347 -10281.7503077408 -8868.18007114744 70.710678 70.710678 150 20.8233173882936 
45000 45000 300.983296419967 31000 -10395.7087769586 -10355.947983849 -8830.20319851324 70.710678 70.710678 150 20.9856370969256 
46000 46000 300.332221524632 31000 -10270.1056392698 -10392.0962170562 -8876.51139966783 70.710678 70.710678 150 21.0854226536663 
47000 47000 298.697515111447 31000 -10339.88391255 -10450.0015506397 -8966.4792920182 70.710678 70.710678 150 21.2448659371046 
48000 48000 300.191811171142 31000 -10447.238536792 -10364.4334308739 -8898.20966370231 70.710678 70.710678 150 21.3562757342871 
49000 49000 304.108558692797 31000 -10377.1344659537 -10347.0102885902 -8882.60248582303 70.710678 70.710678 150 21.4207952211663 
50000 50000 302.160557386418 31000 -10305.0657433543 -10355.5824861743 -8884.80307690959 70.710678 70.710678 150 21.4745749743946 
51000 51000 301.79461159688 31000 -10527.8077388485 -10609.2999143982 -9086.12708310707 70.710678 70.710678 150 21.4851540290768 
52000 52000 299.723911741359 31000 -10441.7851254869 -10263.5246086163 -8950.434927964 70.710678 70.710678 150 21.3945016121311 
53000 53000 301.612763080685 31000 -10513.3147677891 -10398.8529423831 -8908.43655589816 70.710678 70.710678 150 21.3186045243481 
54000 54000 298.363902156792 31000 -10546.8946947247 -10378.8113460539 -8930.99836669591 70.710678 70.710678 150 21.2193933358819 
55000 55000 298.289567925556 31000 -10308.4802213298 -10207.4770788286 -8782.12176810921 70.710678 70.710678 150 21.1094419668509 
56000 56000 299.531685478928 31000 -10415.5408687171 -10353.0098465017 -8836.75110388729 70.710678 70.710678 150 21.0509094642798 
57000 57000 298.828775949273 31000 -10388.7945735762 -10435.8234266431 -8895.42850642278 70.710678 70.710678 150 21.0528652860758 
